fid,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,pop_density,fires_per_capita,sky_bg_final_NAME,sky_bg_final_pop,sky_bg_final_bg_fire_counts
"1","06","093","001000","3","060930010003",Block Group 3,G5030,S,"4368820","0","+41.3098319","-122.2997710",0.000414299513369743,0.00110497237569061,"Block Group 3, Census Tract 10, Siskiyou County, California","1810","2"
"2","06","093","000500","3","060930005003",Block Group 3,G5030,S,"1703283637","6755305","+41.5513212","-123.3566621",3.59893083385501e-07,25.8026101141925,"Block Group 3, Census Tract 5, Siskiyou County, California","613","15817"
"3","06","093","001100","1","060930011001",Block Group 1,G5030,S,"226786659","665815","+41.2135249","-122.3924942",1.57857610133936e-06,0.0698324022346369,"Block Group 1, Census Tract 11, Siskiyou County, California","358","25"
"4","06","093","001200","1","060930012001",Block Group 1,G5030,S,"3191027349","7990907","+41.4116025","-121.8260568",4.12719746953194e-07,0.854214123006834,"Block Group 1, Census Tract 12, Siskiyou County, California","1317","1125"
"5","06","093","000702","1","060930007021",Block Group 1,G5030,S,"2805401","678","+41.7170725","-122.6489718",,,,,
"6","06","093","000800","2","060930008002",Block Group 2,G5030,S,"1290047","2444","+41.4601765","-122.8994410",,,,,
"7","06","093","000900","1","060930009001",Block Group 1,G5030,S,"2677381","1009","+41.4345051","-122.3891842",0.000210280120759802,0.00532859680284192,"Block Group 1, Census Tract 9, Siskiyou County, California","563","3"
"8","06","093","001100","2","060930011002",Block Group 2,G5030,S,"4796663","39388","+41.2214627","-122.2668565",,,,,
"9","06","093","001100","3","060930011003",Block Group 3,G5030,S,"2191542","34064","+41.2106843","-122.2696908",,,,,
"10","06","093","000900","6","060930009006",Block Group 6,G5030,S,"3638291","8543","+41.4249938","-122.3730352",0.000186900937830426,0.0235294117647059,"Block Group 6, Census Tract 9, Siskiyou County, California","680","16"
"11","06","093","000701","2","060930007012",Block Group 2,G5030,S,"337293565","715325","+41.7615760","-122.7238485",2.86100922204075e-06,0.0227979274611399,"Block Group 2, Census Tract 7.01, Siskiyou County, California","965","22"
"12","06","093","000800","1","060930008001",Block Group 1,G5030,S,"1116959137","4787248","+41.4921988","-122.9427528",1.94993704590645e-06,2.49540863177227,"Block Group 1, Census Tract 8, Siskiyou County, California","2178","5435"
"13","06","093","000900","3","060930009003",Block Group 3,G5030,S,"606615","0","+41.4236822","-122.3858432",,,,,
"14","06","093","001000","2","060930010002",Block Group 2,G5030,S,"1826446","0","+41.3220340","-122.3049632",,,,,
"15","06","093","000300","3","060930003003",Block Group 3,G5030,S,"622685223","6619554","+41.6569827","-122.2628433",1.87414115012651e-06,0.458440445586975,"Block Group 3, Census Tract 3, Siskiyou County, California","1167","535"
"16","06","093","000800","3","060930008003",Block Group 3,G5030,S,"2085776423","6250198","+41.2677895","-123.1034605",4.11837045681286e-07,10.1839348079162,"Block Group 3, Census Tract 8, Siskiyou County, California","859","8748"
"17","06","093","000900","4","060930009004",Block Group 4,G5030,S,"304803137","8281903","+41.5444392","-122.3840626",1.0462490745297e-05,0.0116023831922233,"Block Group 4, Census Tract 9, Siskiyou County, California","3189","37"
"18","06","093","000300","1","060930003001",Block Group 1,G5030,S,"656781300","6828202","+41.8661974","-122.3345988",3.0649471901834e-06,0.188276204669647,"Block Group 1, Census Tract 3, Siskiyou County, California","2013","379"
"19","06","093","001000","1","060930010001",Block Group 1,G5030,S,"1231155","1187","+41.3057896","-122.3152456",,,,,
"20","06","093","000701","1","060930007011",Block Group 1,G5030,S,"60128114","211026","+41.6942419","-122.5589246",1.46187854819461e-05,0.0068259385665529,"Block Group 1, Census Tract 7.01, Siskiyou County, California","879","6"
"21","06","093","000500","2","060930005002",Block Group 2,G5030,S,"7459757","255437","+41.7955833","-123.3902955",5.92512597930469e-05,0.00678733031674208,"Block Group 2, Census Tract 5, Siskiyou County, California","442","3"
"22","06","093","001000","5","060930010005",Block Group 5,G5030,S,"135913382","1930955","+41.2860192","-122.4609376",1.1750130682496e-05,0.00375704445835942,"Block Group 5, Census Tract 10, Siskiyou County, California","1597","6"
"23","06","093","000703","3","060930007033",Block Group 3,G5030,S,"3905932","13896","+41.7431803","-122.6399825",,,,,
"24","06","093","000100","1","060930001001",Block Group 1,G5030,S,"860405318","44664518","+41.8199271","-121.6337562",1.30984778501799e-06,0.285714285714286,"Block Group 1, Census Tract 1, Siskiyou County, California","1127","322"
"25","06","093","001000","4","060930010004",Block Group 4,G5030,S,"263278340","156094","+41.4289213","-122.2586525",6.26333332244498e-06,0.00848999393571862,"Block Group 4, Census Tract 10, Siskiyou County, California","1649","14"
"26","06","093","000600","1","060930006001",Block Group 1,G5030,S,"548978420","1714095","+41.7028351","-122.9229617",3.30614088619367e-06,0.112396694214876,"Block Group 1, Census Tract 6, Siskiyou County, California","1815","204"
"27","06","093","000500","1","060930005001",Block Group 1,G5030,S,"1480609626","2843084","+41.9242120","-123.2608091",5.76789441999751e-07,19.1135831381733,"Block Group 1, Census Tract 5, Siskiyou County, California","854","16323"
"28","06","093","000701","3","060930007013",Block Group 3,G5030,S,"191333964","80763","+41.6219253","-122.6384697",4.94423457405607e-06,0.00422832980972516,"Block Group 3, Census Tract 7.01, Siskiyou County, California","946","4"
