NAME,pop,state,county,tract,geoid
"Census Tract 8.02, Merced County, California",3996,06,047,000802,06047000802
"Census Tract 9.01, Merced County, California",3836,06,047,000901,06047000901
"Census Tract 15.02, Merced County, California",2493,06,047,001502,06047001502
"Census Tract 9.02, Merced County, California",9811,06,047,000902,06047000902
"Census Tract 12, Merced County, California",5431,06,047,001200,06047001200
"Census Tract 14.01, Merced County, California",4503,06,047,001401,06047001401
"Census Tract 21, Merced County, California",4741,06,047,002100,06047002100
"Census Tract 16.02, Merced County, California",7757,06,047,001602,06047001602
"Census Tract 19.02, Merced County, California",2277,06,047,001902,06047001902
"Census Tract 23.01, Merced County, California",6701,06,047,002301,06047002301
"Census Tract 23.02, Merced County, California",15488,06,047,002302,06047002302
"Census Tract 19.01, Merced County, California",5298,06,047,001901,06047001901
"Census Tract 13.02, Merced County, California",2895,06,047,001302,06047001302
"Census Tract 3.04, Merced County, California",9911,06,047,000304,06047000304
"Census Tract 6.01, Merced County, California",4820,06,047,000601,06047000601
"Census Tract 10.03, Merced County, California",4269,06,047,001003,06047001003
"Census Tract 14.02, Merced County, California",5017,06,047,001402,06047001402
"Census Tract 17, Merced County, California",6907,06,047,001700,06047001700
"Census Tract 18.01, Merced County, California",5432,06,047,001801,06047001801
"Census Tract 20, Merced County, California",8761,06,047,002000,06047002000
"Census Tract 6.02, Merced County, California",3956,06,047,000602,06047000602
"Census Tract 6.03, Merced County, California",5868,06,047,000603,06047000603
"Census Tract 10.05, Merced County, California",2367,06,047,001005,06047001005
"Census Tract 13.01, Merced County, California",2765,06,047,001301,06047001301
"Census Tract 15.01, Merced County, California",2585,06,047,001501,06047001501
"Census Tract 314.05, El Dorado County, California",2396,06,017,031405,06017031405
"Census Tract 315.04, El Dorado County, California",5678,06,017,031504,06017031504
"Census Tract 306.01, El Dorado County, California",5270,06,017,030601,06017030601
"Census Tract 309.02, El Dorado County, California",4781,06,017,030902,06017030902
"Census Tract 313.02, El Dorado County, California",4858,06,017,031302,06017031302
"Census Tract 302, El Dorado County, California",5146,06,017,030200,06017030200
"Census Tract 307.01, El Dorado County, California",6275,06,017,030701,06017030701
"Census Tract 309.01, El Dorado County, California",3261,06,017,030901,06017030901
"Census Tract 314.02, El Dorado County, California",6067,06,017,031402,06017031402
"Census Tract 310, El Dorado County, California",5908,06,017,031000,06017031000
"Census Tract 2002.02, Napa County, California",2772,06,055,200202,06055200202
"Census Tract 2004, Napa County, California",4127,06,055,200400,06055200400
"Census Tract 2009, Napa County, California",722,06,055,200900,06055200900
"Census Tract 61.01, Sacramento County, California",5070,06,067,006101,06067006101
"Census Tract 61.02, Sacramento County, California",3338,06,067,006102,06067006102
"Census Tract 69, Sacramento County, California",4626,06,067,006900,06067006900
"Census Tract 81.37, Sacramento County, California",2450,06,067,008137,06067008137
"Census Tract 82.10, Sacramento County, California",5908,06,067,008210,06067008210
"Census Tract 84.04, Sacramento County, California",3471,06,067,008404,06067008404
"Census Tract 87.02, Sacramento County, California",2691,06,067,008702,06067008702
"Census Tract 89.05, Sacramento County, California",4679,06,067,008905,06067008905
"Census Tract 89.08, Sacramento County, California",4888,06,067,008908,06067008908
"Census Tract 42.02, Sacramento County, California",6259,06,067,004202,06067004202
"Census Tract 89.10, Sacramento County, California",3828,06,067,008910,06067008910
"Census Tract 2, Sacramento County, California",3824,06,067,000200,06067000200
"Census Tract 4, Sacramento County, California",3851,06,067,000400,06067000400
"Census Tract 42.03, Sacramento County, California",5618,06,067,004203,06067004203
"Census Tract 43, Sacramento County, California",9159,06,067,004300,06067004300
"Census Tract 52.02, Sacramento County, California",3642,06,067,005202,06067005202
"Census Tract 55.05, Sacramento County, California",5967,06,067,005505,06067005505
"Census Tract 83.24, San Diego County, California",7222,06,073,008324,06073008324
"Census Tract 83.39, San Diego County, California",2053,06,073,008339,06073008339
"Census Tract 83.47, San Diego County, California",7037,06,073,008347,06073008347
"Census Tract 83.54, San Diego County, California",9862,06,073,008354,06073008354
"Census Tract 85.05, San Diego County, California",6576,06,073,008505,06073008505
"Census Tract 176.04, San Diego County, California",7427,06,073,017604,06073017604
"Census Tract 184, San Diego County, California",3275,06,073,018400,06073018400
"Census Tract 5433.21, Los Angeles County, California",5619,06,037,543321,06037543321
"Census Tract 5435.02, Los Angeles County, California",4424,06,037,543502,06037543502
"Census Tract 5501, Los Angeles County, California",7441,06,037,550100,06037550100
"Census Tract 5505, Los Angeles County, California",8192,06,037,550500,06037550500
"Census Tract 5510, Los Angeles County, California",7311,06,037,551000,06037551000
"Census Tract 6031.02, Los Angeles County, California",3742,06,037,603102,06037603102
"Census Tract 6033.01, Los Angeles County, California",3846,06,037,603301,06037603301
"Census Tract 6033.02, Los Angeles County, California",3908,06,037,603302,06037603302
"Census Tract 6037.02, Los Angeles County, California",4914,06,037,603702,06037603702
