NAME,pop,county_fire_counts,geoid
"Lake County, California",64148,13872,06033
"Mariposa County, California",17540,14769,06043
"Yuba County, California",75493,1656,06115
"Contra Costa County, California",1133247,7790,06013
"Lassen County, California",31185,6771,06035
"Santa Barbara County, California",443738,5676,06083
"Sonoma County, California",501317,5285,06097
"Imperial County, California",180216,2335,06025
"Mono County, California",14174,1833,06051
"Alameda County, California",1643700,1040,06001
"Sacramento County, California",1510023,1093,06067
"Napa County, California",140530,3769,06055
"Monterey County, California",433212,10187,06053
"Sierra County, California",2930,351,06091
"San Diego County, California",3302833,3662,06073
"Yolo County, California",214977,3302,06113
"Humboldt County, California",135768,6233,06023
"Alpine County, California",1146,3213,06003
"Mendocino County, California",87422,5686,06045
"Santa Cruz County, California",273765,100,06087
"Los Angeles County, California",10098052,20901,06037
"Riverside County, California",2383286,4930,06065
"Santa Clara County, California",1922200,3266,06085
"Marin County, California",260295,568,06041
"Siskiyou County, California",43540,50787,06093
"Shasta County, California",179085,27153,06089
"Del Norte County, California",27424,4580,06015
"San Luis Obispo County, California",281455,2708,06079
"Glenn County, California",27897,5245,06021
"Butte County, California",227075,7602,06007
"Plumas County, California",18699,12119,06063
"Kern County, California",883053,7213,06029
"Orange County, California",3164182,3313,06059
"Calaveras County, California",45235,3439,06009
"Sutter County, California",95872,2649,06101
"San Mateo County, California",765935,82,06081
"Tuolumne County, California",53932,21720,06109
"San Joaquin County, California",732212,2422,06077
"Amador County, California",37829,449,06005
"Merced County, California",269075,1748,06047
"Modoc County, California",8938,10742,06049
"Inyo County, California",18085,748,06027
"Stanislaus County, California",539301,1689,06099
"Tehama County, California",63373,3396,06103
"San Benito County, California",59416,466,06069
"El Dorado County, California",186661,6169,06017
"San Francisco County, California",870044,6,06075
"Tulare County, California",460477,15448,06107
"Nevada County, California",99092,456,06057
"Madera County, California",155013,8157,06039
"Trinity County, California",12862,20539,06105
"San Bernardino County, California",2135413,16995,06071
"Placer County, California",380077,4895,06061
"Solano County, California",438530,2939,06095
"Colusa County, California",21464,8427,06011
"Kings County, California",150075,1042,06031
"Fresno County, California",978130,21269,06019
"Ventura County, California",848112,11259,06111
