NAME,pop,state,county,tract,bg,geoid
"Block Group 3, Census Tract 4609, Los Angeles County, California",1430,06,037,460900,3,060374609003
"Block Group 3, Census Tract 4611, Los Angeles County, California",824,06,037,461100,3,060374611003
"Block Group 2, Census Tract 4611, Los Angeles County, California",1668,06,037,461100,2,060374611002
"Block Group 1, Census Tract 4617, Los Angeles County, California",710,06,037,461700,1,060374617001
"Block Group 2, Census Tract 4617, Los Angeles County, California",800,06,037,461700,2,060374617002
"Block Group 1, Census Tract 4801.01, Los Angeles County, California",1943,06,037,480101,1,060374801011
"Block Group 2, Census Tract 4801.01, Los Angeles County, California",628,06,037,480101,2,060374801012
"Block Group 2, Census Tract 4808.02, Los Angeles County, California",2787,06,037,480802,2,060374808022
"Block Group 2, Census Tract 2133.10, Los Angeles County, California",1643,06,037,213310,2,060372133102
"Block Group 1, Census Tract 2140, Los Angeles County, California",859,06,037,214000,1,060372140001
"Block Group 3, Census Tract 2140, Los Angeles County, California",1020,06,037,214000,3,060372140003
"Block Group 4, Census Tract 2140, Los Angeles County, California",843,06,037,214000,4,060372140004
"Block Group 2, Census Tract 7031, Los Angeles County, California",895,06,037,703100,2,060377031002
"Block Group 4, Census Tract 7031, Los Angeles County, California",896,06,037,703100,4,060377031004
"Block Group 2, Census Tract 9108.07, Los Angeles County, California",2612,06,037,910807,2,060379108072
"Block Group 1, Census Tract 7031, Los Angeles County, California",792,06,037,703100,1,060377031001
"Block Group 5, Census Tract 7031, Los Angeles County, California",835,06,037,703100,5,060377031005
"Block Group 1, Census Tract 9104.03, Los Angeles County, California",2018,06,037,910403,1,060379104031
"Block Group 3, Census Tract 5766.01, Los Angeles County, California",924,06,037,576601,3,060375766013
"Block Group 1, Census Tract 5768.02, Los Angeles County, California",2271,06,037,576802,1,060375768021
"Block Group 1, Census Tract 5776.02, Los Angeles County, California",1532,06,037,577602,1,060375776021
"Block Group 1, Census Tract 6002.01, Los Angeles County, California",1740,06,037,600201,1,060376002011
"Block Group 2, Census Tract 6002.01, Los Angeles County, California",1921,06,037,600201,2,060376002012
"Block Group 4, Census Tract 6008.01, Los Angeles County, California",1578,06,037,600801,4,060376008014
"Block Group 3, Census Tract 6008.01, Los Angeles County, California",394,06,037,600801,3,060376008013
"Block Group 2, Census Tract 4033.22, Los Angeles County, California",1678,06,037,403322,2,060374033222
"Block Group 1, Census Tract 4033.22, Los Angeles County, California",2095,06,037,403322,1,060374033221
"Block Group 1, Census Tract 6015.02, Los Angeles County, California",2462,06,037,601502,1,060376015021
"Block Group 2, Census Tract 6015.02, Los Angeles County, California",1494,06,037,601502,2,060376015022
"Block Group 2, Census Tract 6021.03, Los Angeles County, California",1983,06,037,602103,2,060376021032
"Block Group 3, Census Tract 6021.03, Los Angeles County, California",2062,06,037,602103,3,060376021033
"Block Group 1, Census Tract 4033.25, Los Angeles County, California",3033,06,037,403325,1,060374033251
"Block Group 2, Census Tract 4033.25, Los Angeles County, California",1525,06,037,403325,2,060374033252
"Block Group 4, Census Tract 4036, Los Angeles County, California",2297,06,037,403600,4,060374036004
"Block Group 3, Census Tract 4036, Los Angeles County, California",1353,06,037,403600,3,060374036003
"Block Group 1, Census Tract 4036, Los Angeles County, California",2757,06,037,403600,1,060374036001
"Block Group 2, Census Tract 4036, Los Angeles County, California",488,06,037,403600,2,060374036002
"Block Group 2, Census Tract 4037.22, Los Angeles County, California",723,06,037,403722,2,060374037222
"Block Group 3, Census Tract 4037.22, Los Angeles County, California",2755,06,037,403722,3,060374037223
"Block Group 1, Census Tract 4047.01, Los Angeles County, California",2697,06,037,404701,1,060374047011
"Block Group 2, Census Tract 2352.02, Los Angeles County, California",1492,06,037,235202,2,060372352022
"Block Group 1, Census Tract 2352.02, Los Angeles County, California",2370,06,037,235202,1,060372352021
"Block Group 3, Census Tract 2376, Los Angeles County, California",851,06,037,237600,3,060372376003
"Block Group 3, Census Tract 1910, Los Angeles County, California",1242,06,037,191000,3,060371910003
