NAME,pop,bg_fire_counts,geoid
"Block Group 2, Census Tract 9108.07, Los Angeles County, California",2612,3,060379108072
"Block Group 1, Census Tract 9201.07, Los Angeles County, California",5752,11,060379201071
"Block Group 1, Census Tract 5516, Los Angeles County, California",31,1,060375516001
"Block Group 1, Census Tract 9200.42, Los Angeles County, California",1732,5,060379200421
"Block Group 3, Census Tract 6201.01, Los Angeles County, California",2468,31,060376201013
"Block Group 2, Census Tract 9009, Los Angeles County, California",1297,3,060379009002
"Block Group 1, Census Tract 9107.07, Los Angeles County, California",4940,3,060379107071
"Block Group 2, Census Tract 4024.03, Los Angeles County, California",4117,170,060374024032
"Block Group 2, Census Tract 5705.02, Los Angeles County, California",2020,2,060375705022
"Block Group 3, Census Tract 2738, Los Angeles County, California",467,1,060372738003
"Block Group 1, Census Tract 4045.01, Los Angeles County, California",2684,52,060374045011
"Block Group 2, Census Tract 2360, Los Angeles County, California",868,1,060372360002
"Block Group 1, Census Tract 2393.30, Los Angeles County, California",1271,1,060372393301
"Block Group 1, Census Tract 4024.04, Los Angeles County, California",1885,2,060374024041
"Block Group 1, Census Tract 9203.03, Los Angeles County, California",1616,17,060379203031
"Block Group 2, Census Tract 4303.01, Los Angeles County, California",0,28,060374303012
"Block Group 1, Census Tract 4303.01, Los Angeles County, California",1047,1,060374303011
"Block Group 3, Census Tract 4303.01, Los Angeles County, California",1151,5,060374303013
"Block Group 5, Census Tract 4303.02, Los Angeles County, California",1115,1,060374303025
"Block Group 1, Census Tract 2623.02, Los Angeles County, California",1596,2,060372623021
"Block Group 1, Census Tract 2074, Los Angeles County, California",1384,2,060372074001
"Block Group 1, Census Tract 4828, Los Angeles County, California",895,809,060374828001
"Block Group 1, Census Tract 5734.01, Los Angeles County, California",1466,1,060375734011
"Block Group 4, Census Tract 3006, Los Angeles County, California",1861,1,060373006004
"Block Group 1, Census Tract 3200, Los Angeles County, California",0,1,060373200001
"Block Group 2, Census Tract 4824.02, Los Angeles County, California",3759,1,060374824022
"Block Group 1, Census Tract 9006.06, Los Angeles County, California",2419,2,060379006061
"Block Group 3, Census Tract 1219, Los Angeles County, California",1028,3,060371219003
"Block Group 2, Census Tract 1345.20, Los Angeles County, California",2368,1,060371345202
"Block Group 2, Census Tract 1061.11, Los Angeles County, California",2936,1,060371061112
"Block Group 1, Census Tract 1081.03, Los Angeles County, California",1883,9,060371081031
"Block Group 6, Census Tract 3004, Los Angeles County, California",1123,2,060373004006
"Block Group 4, Census Tract 9200.31, Los Angeles County, California",1588,2,060379200314
"Block Group 1, Census Tract 1132.31, Los Angeles County, California",1786,5,060371132311
"Block Group 2, Census Tract 1134.21, Los Angeles County, California",2526,2,060371134212
"Block Group 2, Census Tract 4034.07, Los Angeles County, California",1382,6,060374034072
"Block Group 2, Census Tract 8002.02, Los Angeles County, California",4814,5,060378002022
"Block Group 1, Census Tract 4032, Los Angeles County, California",449,81,060374032001
"Block Group 1, Census Tract 4033.03, Los Angeles County, California",2818,1,060374033031
"Block Group 1, Census Tract 1065.10, Los Angeles County, California",1945,2,060371065101
"Block Group 3, Census Tract 2941.20, Los Angeles County, California",713,2,060372941203
"Block Group 1, Census Tract 6702.02, Los Angeles County, California",2562,362,060376702021
"Block Group 1, Census Tract 3107.03, Los Angeles County, California",2872,1,060373107031
"Block Group 1, Census Tract 6022, Los Angeles County, California",1951,1,060376022001
"Block Group 1, Census Tract 9102.01, Los Angeles County, California",2311,1,060379102011
