NAME,pop,state,county,tract,bg,geoid
"Block Group 3, Census Tract 8, Siskiyou County, California",859,06,093,000800,3,060930008003
"Block Group 1, Census Tract 8, Siskiyou County, California",2178,06,093,000800,1,060930008001
"Block Group 3, Census Tract 11, Siskiyou County, California",897,06,093,001100,3,060930011003
"Block Group 1, Census Tract 11, Siskiyou County, California",358,06,093,001100,1,060930011001
"Block Group 1, Census Tract 9, Siskiyou County, California",563,06,093,000900,1,060930009001
"Block Group 5, Census Tract 9, Siskiyou County, California",741,06,093,000900,5,060930009005
"Block Group 2, Census Tract 9, Siskiyou County, California",1405,06,093,000900,2,060930009002
"Block Group 4, Census Tract 9, Siskiyou County, California",3189,06,093,000900,4,060930009004
"Block Group 6, Census Tract 9, Siskiyou County, California",680,06,093,000900,6,060930009006
"Block Group 3, Census Tract 9, Siskiyou County, California",703,06,093,000900,3,060930009003
"Block Group 2, Census Tract 7.01, Siskiyou County, California",965,06,093,000701,2,060930007012
"Block Group 3, Census Tract 7.01, Siskiyou County, California",946,06,093,000701,3,060930007013
"Block Group 1, Census Tract 7.01, Siskiyou County, California",879,06,093,000701,1,060930007011
"Block Group 4, Census Tract 7.01, Siskiyou County, California",996,06,093,000701,4,060930007014
"Block Group 1, Census Tract 2, Siskiyou County, California",1782,06,093,000200,1,060930002001
"Block Group 1, Census Tract 4, Siskiyou County, California",584,06,093,000400,1,060930004001
"Block Group 1, Census Tract 5, Siskiyou County, California",854,06,093,000500,1,060930005001
"Block Group 3, Census Tract 5, Siskiyou County, California",613,06,093,000500,3,060930005003
"Block Group 1, Census Tract 3, Siskiyou County, California",2013,06,093,000300,1,060930003001
"Block Group 3, Census Tract 3, Siskiyou County, California",1167,06,093,000300,3,060930003003
"Block Group 1, Census Tract 10, Siskiyou County, California",352,06,093,001000,1,060930010001
"Block Group 3, Census Tract 10, Siskiyou County, California",1810,06,093,001000,3,060930010003
"Block Group 2, Census Tract 10, Siskiyou County, California",1123,06,093,001000,2,060930010002
"Block Group 1, Census Tract 1, Siskiyou County, California",1127,06,093,000100,1,060930001001
"Block Group 2, Census Tract 7.03, Siskiyou County, California",1164,06,093,000703,2,060930007032
"Block Group 3, Census Tract 7.03, Siskiyou County, California",1612,06,093,000703,3,060930007033
"Block Group 1, Census Tract 6, Siskiyou County, California",1815,06,093,000600,1,060930006001
"Block Group 1, Census Tract 7.02, Siskiyou County, California",1772,06,093,000702,1,060930007021
"Block Group 5, Census Tract 10, Siskiyou County, California",1597,06,093,001000,5,060930010005
"Block Group 1, Census Tract 7.03, Siskiyou County, California",562,06,093,000703,1,060930007031
"Block Group 1, Census Tract 12, Siskiyou County, California",1317,06,093,001200,1,060930012001
"Block Group 2, Census Tract 8, Siskiyou County, California",521,06,093,000800,2,060930008002
"Block Group 2, Census Tract 11, Siskiyou County, California",634,06,093,001100,2,060930011002
"Block Group 2, Census Tract 5, Siskiyou County, California",442,06,093,000500,2,060930005002
"Block Group 2, Census Tract 3, Siskiyou County, California",1005,06,093,000300,2,060930003002
"Block Group 4, Census Tract 10, Siskiyou County, California",1649,06,093,001000,4,060930010004
"Block Group 2, Census Tract 7.02, Siskiyou County, California",2666,06,093,000702,2,060930007022
