NAME,pop,tract_fire_counts,geoid
"Census Tract 8.02, Merced County, California",3996,403,06047000802
"Census Tract 8.02, Nevada County, California",6593,403,06057000802
"Census Tract 8.02, Lake County, California",4555,403,06033000802
"Census Tract 8.02, San Benito County, California",2758,403,06069000802
"Census Tract 9.01, Merced County, California",3836,326,06047000901
"Census Tract 9.01, Ventura County, California",2508,326,06111000901
"Census Tract 9.01, Fresno County, California",3087,326,06019000901
"Census Tract 9.01, San Bernardino County, California",5048,326,06071000901
"Census Tract 9.01, Butte County, California",2639,326,06007000901
"Census Tract 15.02, Merced County, California",2493,29,06047001502
"Census Tract 15.02, Ventura County, California",9295,29,06111001502
"Census Tract 15.02, Tulare County, California",5681,29,06107001502
"Census Tract 9.02, Merced County, California",9811,577,06047000902
"Census Tract 9.02, Ventura County, California",2089,577,06111000902
"Census Tract 9.02, Kern County, California",3473,577,06029000902
"Census Tract 9.02, Fresno County, California",4791,577,06019000902
"Census Tract 12, Merced County, California",5431,4022,06047001200
"Census Tract 12, Lake County, California",3419,4022,06033001200
"Census Tract 12, San Diego County, California",6186,4022,06073001200
"Census Tract 12, Kings County, California",2592,4022,06031001200
"Census Tract 12, Siskiyou County, California",1317,4022,06093001200
"Census Tract 12, Tuolumne County, California",3527,4022,06109001200
"Census Tract 12, San Joaquin County, California",5293,4022,06077001200
"Census Tract 12, Butte County, California",3300,4022,06007001200
"Census Tract 12, Sacramento County, California",3314,4022,06067001200
"Census Tract 12, Monterey County, California",3030,4022,06053001200
"Census Tract 12, Tulare County, California",1174,4022,06107001200
"Census Tract 12, Stanislaus County, California",3832,4022,06099001200
"Census Tract 12, Humboldt County, California",4812,4022,06023001200
"Census Tract 12, San Bernardino County, California",5074,4022,06071001200
"Census Tract 21, Merced County, California",4741,1047,06047002100
"Census Tract 21, Butte County, California",4679,1047,06007002100
"Census Tract 21, Tuolumne County, California",4467,1047,06109002100
"Census Tract 21, San Joaquin County, California",5819,1047,06077002100
"Census Tract 21, Stanislaus County, California",3084,1047,06099002100
"Census Tract 21, Sacramento County, California",2244,1047,06067002100
"Census Tract 21, San Diego County, California",5319,1047,06073002100
"Census Tract 21, Kern County, California",3526,1047,06029002100
"Census Tract 21, Tulare County, California",2559,1047,06107002100
"Census Tract 21, Fresno County, California",6004,1047,06019002100
"Census Tract 16.02, Merced County, California",7757,114,06047001602
"Census Tract 16.02, Tulare County, California",5725,114,06107001602
"Census Tract 16.02, Kings County, California",9121,114,06031001602
"Census Tract 16.02, Orange County, California",4767,114,06059001602
"Census Tract 16.02, Ventura County, California",2520,114,06111001602
"Census Tract 19.02, Merced County, California",2277,135,06047001902
"Census Tract 19.02, Kern County, California",4874,135,06029001902
"Census Tract 19.02, Orange County, California",3081,135,06059001902
"Census Tract 19.02, Tulare County, California",4151,135,06107001902
"Census Tract 23.01, Merced County, California",6701,3,06047002301
"Census Tract 23.01, Kern County, California",10618,3,06029002301
"Census Tract 23.01, Stanislaus County, California",8568,3,06099002301
"Census Tract 23.01, San Bernardino County, California",11066,3,06071002301
"Census Tract 23.01, San Diego County, California",3012,3,06073002301
"Census Tract 23.02, Merced County, California",15488,82,06047002302
"Census Tract 23.02, Kern County, California",3665,82,06029002302
