fid,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,pop_density,fires_per_capita,county_final_NAME,county_final_pop,county_final_county_fire_counts
"1","06","091","00277310","06091",Sierra,Sierra County,"06",H1,G4020,,,,A,"2468694583","23299110","+39.5769252","-120.5219926",1.18686208499693e-06,0.119795221843003,"Sierra County, California","2930","351"
"2","06","067","00277298","06067",Sacramento,Sacramento County,"06",H1,G4020,"472","40900",,A,"2499983887","75425434","+38.4500161","-121.3404408",0.000604013092985187,0.00072383003437696,"Sacramento County, California","1510023","1093"
"3","06","083","00277306","06083",Santa Barbara,Santa Barbara County,"06",H1,G4020,,"42200",,A,"7084063392","2729751706","+34.5370572","-120.0399729",6.26389086948476e-05,0.012791331821931,"Santa Barbara County, California","443738","5676"
"4","06","009","01675885","06009",Calaveras,Calaveras County,"06",H1,G4020,,,,A,"2641784992","43841871","+38.1838996","-120.5614415",1.71228923386964e-05,0.0760252017243285,"Calaveras County, California","45235","3439"
"5","06","111","00277320","06111",Ventura,Ventura County,"06",H1,G4020,"348","37100",,A,"4771987962","947345370","+34.3587415","-119.1331432",0.000177727187652952,0.0132753692908484,"Ventura County, California","848112","11259"
"6","06","037","00277283","06037",Los Angeles,Los Angeles County,"06",H1,G4020,"348","31080","31084",A,"10511861492","1793485467","+34.1963983","-118.2618616",0.000960634042570393,0.00206980514657679,"Los Angeles County, California","10098052","20901"
"7","06","097","01657246","06097",Sonoma,Sonoma County,"06",H1,G4020,"488","42220",,A,"4080764059","498182342","+38.5251824","-122.9261095",0.000122848807907519,0.0105422317615401,"Sonoma County, California","501317","5285"
"8","06","031","00277280","06031",Kings,Kings County,"06",H1,G4020,"260","25260",,A,"3600883803","3162664","+36.0724780","-119.8155301",4.16772681959268e-05,0.0069431950691321,"Kings County, California","150075","1042"
"9","06","073","00277301","06073",San Diego,San Diego County,"06",H1,G4020,,"41740",,A,"10904373558","817404622","+33.0236041","-116.7761174",0.000302890668815805,0.00110874512880306,"San Diego County, California","3302833","3662"
"10","06","061","00277295","06061",Placer,Placer County,"06",H1,G4020,"472","40900",,A,"3644306246","246466620","+39.0620323","-120.7227181",0.000104293375568306,0.0128789692614918,"Placer County, California","380077","4895"
"11","06","075","00277302","06075",San Francisco,San Francisco County,"06",H6,G4020,"488","41860","41884",C,"121477743","479114582","+37.7272391","-123.0322294",0.00716216797014413,6.89620295065537e-06,"San Francisco County, California","870044","6"
"12","06","041","00277285","06041",Marin,Marin County,"06",H1,G4020,"488","41860","42034",A,"1347950152","797055812","+38.0518169","-122.7459738",0.000193104321857742,0.00218213949557233,"Marin County, California","260295","568"
"13","06","043","00277286","06043",Mariposa,Mariposa County,"06",H1,G4020,,,,A,"3752472150","36225644","+37.5700295","-119.9128613",4.67425187952428e-06,0.842018244013683,"Mariposa County, California","17540","14769"
"14","06","035","01693324","06035",Lassen,Lassen County,"06",H1,G4020,,"45000",,A,"11761615584","463426056","+40.7210862","-120.6299518",2.65142146308733e-06,0.217123617123617,"Lassen County, California","31185","6771"
"15","06","055","00277292","06055",Napa,Napa County,"06",H1,G4020,"488","34900",,A,"1937986794","104295181","+38.5070999","-122.3259045",7.25133940205787e-05,0.0268198961075927,"Napa County, California","140530","3769"
"16","06","089","01682610","06089",Shasta,Shasta County,"06",H1,G4020,"454","39820",,A,"9778407493","186302040","+40.7605142","-122.0435556",1.831433187134e-05,0.15162073875534,"Shasta County, California","179085","27153"
"17","06","053","00277291","06053",Monterey,Monterey County,"06",H1,G4020,,"41500",,A,"8499616876","1267800137","+36.2401070","-121.3155723",5.09684149674136e-05,0.0235150457512719,"Monterey County, California","433212","10187"
"18","06","105","00277317","06105",Trinity,Trinity County,"06",H1,G4020,,,,A,"8234265082","73407950","+40.6478033","-123.1144760",1.56200946555828e-06,1.59687451407246,"Trinity County, California","12862","20539"
"19","06","045","00277287","06045",Mendocino,Mendocino County,"06",H1,G4020,,"46380",,A,"9081426663","962946206","+39.4323876","-123.4428811",9.62646104451617e-06,0.0650408364027362,"Mendocino County, California","87422","5686"
"20","06","027","01804637","06027",Inyo,Inyo County,"06",H1,G4020,,,,A,"26410680788","76915743","+36.5619770","-117.4039269",6.84760841462941e-07,0.0413602432955488,"Inyo County, California","18085","748"
"21","06","051","00277290","06051",Mono,Mono County,"06",H1,G4020,,,,A,"7896838483","214695677","+37.9158363","-118.8751668",1.79489551806248e-06,0.129321292507408,"Mono County, California","14174","1833"
"22","06","109","00277319","06109",Tuolumne,Tuolumne County,"06",H1,G4020,,"43760",,A,"5752029633","138772442","+38.0214344","-119.9647335",9.37616866411578e-06,0.402729362901431,"Tuolumne County, California","53932","21720"
"23","06","095","00277312","06095",Solano,Solano County,"06",H1,G4020,"488","46700",,A,"2128488719","218671901","+38.2672255","-121.9395940",0.000206028810998833,0.00670193601349965,"Solano County, California","438530","2939"
"24","06","071","00277300","06071",San Bernardino,San Bernardino County,"06",H1,G4020,"348","40140",,A,"51975576263","96414425","+34.8572198","-116.1811967",4.10849316839637e-05,0.0079586478119221,"San Bernardino County, California","2135413","16995"
"25","06","013","01675903","06013",Contra Costa,Contra Costa County,"06",H1,G4020,"488","41860","36084",A,"1857229826","225285866","+37.9194790","-121.9515431",0.000610181348659862,0.00687405305286491,"Contra Costa County, California","1133247","7790"
"26","06","003","01675840","06003",Alpine,Alpine County,"06",H1,G4020,,,,A,"1912292608","12557304","+38.6217831","-119.7983522",5.99280672427303e-07,2.80366492146597,"Alpine County, California","1146","3213"
"27","06","017","00277273","06017",El Dorado,El Dorado County,"06",H1,G4020,"472","40900",,A,"4423299441","203342316","+38.7856116","-120.5342245",4.21994944022602e-05,0.0330492175655332,"El Dorado County, California","186661","6169"
"28","06","113","00277321","06113",Yolo,Yolo County,"06",H1,G4020,"472","40900",,A,"2628144759","22878428","+38.6795955","-121.9024413",8.17980057087107e-05,0.0153597826744256,"Yolo County, California","214977","3302"
"29","06","115","00277322","06115",Yuba,Yuba County,"06",H1,G4020,"472","49700",,A,"1636913845","31057995","+39.2701300","-121.3442587",4.6119104087607e-05,0.0219358086180176,"Yuba County, California","75493","1656"
"30","06","069","00277299","06069",San Benito,San Benito County,"06",H1,G4020,"488","41940",,A,"3596591082","4719300","+36.6116507","-121.0858108",1.65200876733976e-05,0.00784300525111081,"San Benito County, California","59416","466"
"31","06","023","01681908","06023",Humboldt,Humboldt County,"06",H1,G4020,,"21700",,A,"9241426488","1253864712","+40.7066554","-123.9261757",1.46912384334058e-05,0.0459091980437216,"Humboldt County, California","135768","6233"
"32","06","065","00277297","06065",Riverside,Riverside County,"06",H1,G4020,"348","40140",,A,"18671212657","243883196","+33.7298275","-116.0022389",0.000127644949676393,0.00206857255067164,"Riverside County, California","2383286","4930"
"33","06","029","02054176","06029",Kern,Kern County,"06",H1,G4020,,"12540",,A,"21062540828","78680980","+35.3466288","-118.7295064",4.19252837162975e-05,0.00816825264168742,"Kern County, California","883053","7213"
"34","06","011","01675902","06011",Colusa,Colusa County,"06",H1,G4020,,,,A,"2980332742","14608887","+39.1777385","-122.2375629",7.20188041339177e-06,0.392610883339545,"Colusa County, California","21464","8427"
"35","06","015","01682074","06015",Del Norte,Del Norte County,"06",H1,G4020,,"18860",,A,"2606117982","578742642","+41.7639580","-124.0036140",1.05229311141755e-05,0.167007001166861,"Del Norte County, California","27424","4580"
"36","06","049","00277289","06049",Modoc,Modoc County,"06",H1,G4020,,,,A,"10225096402","661284408","+41.5929185","-120.7183704",8.74123788040937e-07,1.20183486238532,"Modoc County, California","8938","10742"
"37","06","019","00277274","06019",Fresno,Fresno County,"06",H1,G4020,"260","23420",,A,"15432139300","136609898","+36.7610058","-119.6550193",6.33826575165765e-05,0.0217445533824747,"Fresno County, California","978130","21269"
"38","06","039","00277284","06039",Madera,Madera County,"06",H1,G4020,"260","31460",,A,"5534617472","42245931","+37.2098213","-119.7498023",2.80078977064307e-05,0.0526213930444543,"Madera County, California","155013","8157"
"39","06","085","00277307","06085",Santa Clara,Santa Clara County,"06",H1,G4020,"488","41940",,A,"3343890934","33595384","+37.2206954","-121.6905097",0.000574839322794731,0.00169909478722297,"Santa Clara County, California","1922200","3266"
"40","06","103","01692767","06103",Tehama,Tehama County,"06",H1,G4020,"454","39780",,A,"7638228749","33767783","+40.1261573","-122.2322737",8.29681881526484e-06,0.0535874899405109,"Tehama County, California","63373","3396"
"41","06","077","00277303","06077",San Joaquin,San Joaquin County,"06",H1,G4020,"488","44700",,A,"3606127799","89109687","+37.9349815","-121.2722440",0.000203046603119015,0.0033077851769706,"San Joaquin County, California","732212","2422"
"42","06","001","01675839","06001",Alameda,Alameda County,"06",H1,G4020,"488","41860","36084",A,"1909614756","216907015","+37.6471385","-121.9124880",0.000860749528058213,0.000632718865973109,"Alameda County, California","1643700","1040"
"43","06","057","01682927","06057",Nevada,Nevada County,"06",H1,G4020,"472","46020",,A,"2480587338","41531993","+39.2975082","-120.7713429",3.9946990973474e-05,0.00460178420054091,"Nevada County, California","99092","456"
"44","06","007","01675842","06007",Butte,Butte County,"06",H1,G4020,,"17020",,A,"4238488156","105261063","+39.6659588","-121.6019188",5.35745274358153e-05,0.033477925795442,"Butte County, California","227075","7602"
"45","06","047","00277288","06047",Merced,Merced County,"06",H1,G4020,"488","32900",,A,"5014506620","110178168","+37.1948063","-120.7228019",5.36593169359501e-05,0.00649633001951129,"Merced County, California","269075","1748"
"46","06","107","00277318","06107",Tulare,Tulare County,"06",H1,G4020,,"47300",,A,"12494889125","37207487","+36.2288339","-118.7810551",3.68532281794057e-05,0.0335478210638099,"Tulare County, California","460477","15448"
"47","06","099","00277314","06099",Stanislaus,Stanislaus County,"06",H1,G4020,"488","33700",,A,"3874667416","46351766","+37.5623162","-121.0028311",0.000139186397721006,0.00313183176000044,"Stanislaus County, California","539301","1689"
"48","06","059","00277294","06059",Orange,Orange County,"06",H1,G4020,"348","31080","11244",A,"2053367783","401931862","+33.6756872","-117.7772068",0.00154097187371718,0.00104703206073481,"Orange County, California","3164182","3313"
"49","06","025","00277277","06025",Imperial,Imperial County,"06",H1,G4020,,"20940",,A,"10814594615","790217372","+33.0408143","-115.3554001",1.66641475169155e-05,0.0129566742131664,"Imperial County, California","180216","2335"
"50","06","101","00277315","06101",Sutter,Sutter County,"06",H1,G4020,"472","49700",,A,"1560546528","15240591","+39.0361898","-121.7039397",6.14348872525254e-05,0.027630590787717,"Sutter County, California","95872","2649"
"51","06","005","01675841","06005",Amador,Amador County,"06",H1,G4020,,,,A,"1539933596","29470567","+38.4435501","-120.6538563",2.45653449591991e-05,0.0118692008776336,"Amador County, California","37829","449"
