fid,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,pop_density,fires_per_capita,la_bg_final_NAME,la_bg_final_pop,la_bg_final_bg_fire_counts
"1","06","037","187200","2","060371872002",Block Group 2,G5030,S,"543859","8150","+34.1069009","-118.2493596",,,,,
"2","06","037","187300","1","060371873001",Block Group 1,G5030,S,"708405","0","+34.1041310","-118.2566334",,,,,
"3","06","037","187300","2","060371873002",Block Group 2,G5030,S,"460439","0","+34.0977378","-118.2568632",,,,,
"4","06","037","543702","4","060375437024",Block Group 4,G5030,S,"272187","0","+33.8108754","-118.2732027",,,,,
"5","06","037","543702","5","060375437025",Block Group 5,G5030,S,"211461","0","+33.8164435","-118.2734112",,,,,
"6","06","037","543703","1","060375437031",Block Group 1,G5030,S,"1036654","0","+33.8035208","-118.2698996",,,,,
"7","06","037","204300","2","060372043002",Block Group 2,G5030,S,"186945","0","+34.0363456","-118.2066799",,,,,
"8","06","037","204300","3","060372043003",Block Group 3,G5030,S,"194868","0","+34.0386068","-118.2106066",,,,,
"9","06","037","204300","4","060372043004",Block Group 4,G5030,S,"114173","0","+34.0417194","-118.2086206",,,,,
"10","06","037","204410","1","060372044101",Block Group 1,G5030,S,"197865","0","+34.0464593","-118.2158732",,,,,
"11","06","037","204410","2","060372044102",Block Group 2,G5030,S,"99012","0","+34.0456462","-118.2140669",,,,,
"12","06","037","204600","1","060372046001",Block Group 1,G5030,S,"309004","0","+34.0345211","-118.2174861",,,,,
"13","06","037","204600","2","060372046002",Block Group 2,G5030,S,"255172","18298","+34.0404152","-118.2158061",,,,,
"14","06","037","209300","2","060372093002",Block Group 2,G5030,S,"154865","0","+34.0499224","-118.2663972",,,,,
"15","06","037","209402","2","060372094022",Block Group 2,G5030,S,"70037","0","+34.0554075","-118.2767387",,,,,
"16","06","037","209510","2","060372095102",Block Group 2,G5030,S,"93792","0","+34.0535809","-118.2830007",,,,,
"17","06","037","209520","1","060372095201",Block Group 1,G5030,S,"140321","0","+34.0500485","-118.2758427",,,,,
"18","06","037","209810","2","060372098102",Block Group 2,G5030,S,"70446","0","+34.0481600","-118.2825796",,,,,
"19","06","037","209820","1","060372098201",Block Group 1,G5030,S,"90243","0","+34.0479893","-118.2778306",,,,,
"20","06","037","210010","1","060372100101",Block Group 1,G5030,S,"125395","0","+34.0485927","-118.2725963",,,,,
"21","06","037","210010","2","060372100102",Block Group 2,G5030,S,"190304","0","+34.0462086","-118.2709740",,,,,
"22","06","037","543801","1","060375438011",Block Group 1,G5030,S,"1682694","41547","+33.8424449","-118.2718835",,,,,
"23","06","037","543802","2","060375438022",Block Group 2,G5030,S,"283246","0","+33.8299223","-118.2736565",,,,,
"24","06","037","543802","3","060375438023",Block Group 3,G5030,S,"317020","0","+33.8260492","-118.2722559",,,,,
"25","06","037","543802","4","060375438024",Block Group 4,G5030,S,"416657","0","+33.8281238","-118.2665499",,,,,
"26","06","037","201110","2","060372011102",Block Group 2,G5030,S,"418979","0","+34.0928104","-118.1760899",,,,,
"27","06","037","201120","1","060372011201",Block Group 1,G5030,S,"204314","0","+34.0932663","-118.1634265",,,,,
"28","06","037","201120","2","060372011202",Block Group 2,G5030,S,"387020","0","+34.0947292","-118.1661707",,,,,
