fid,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,pop_density,fires_per_capita,tract_final_NAME,tract_final_pop,tract_final_tract_fire_counts
"1","06","037","139301","06037139301","1393.01",Census Tract 1393.01,G5020,S,"2865657","0","+34.1781538","-118.5581265",,,,,
"2","06","037","139302","06037139302","1393.02",Census Tract 1393.02,G5020,S,"338289","0","+34.1767230","-118.5383655",,,,,
"3","06","037","139502","06037139502","1395.02",Census Tract 1395.02,G5020,S,"1047548","0","+34.1628402","-118.5263110",,,,,
"4","06","037","139600","06037139600","1396",Census Tract 1396,G5020,S,"2477482","0","+34.1640599","-118.5101001",,,,,
"5","06","037","139701","06037139701","1397.01",Census Tract 1397.01,G5020,S,"3396396","2411","+34.1574290","-118.4954117",,,,,
"6","06","037","139801","06037139801","1398.01",Census Tract 1398.01,G5020,S,"3665744","0","+34.1527206","-118.5455805",,,,,
"7","06","013","324002","06013324002","3240.02",Census Tract 3240.02,G5020,S,"2019541","0","+37.9514985","-122.0605612",,,,,
"8","06","013","320004","06013320004","3200.04",Census Tract 3200.04,G5020,S,"7108002","39729","+38.0026469","-122.0763759",,,,,
"9","06","013","336201","06013336201","3362.01",Census Tract 3362.01,G5020,S,"1256563","0","+37.9604623","-122.0475025",,,,,
"10","06","013","338203","06013338203","3382.03",Census Tract 3382.03,G5020,S,"1599603","0","+37.9256330","-122.0540950",,,,,
"11","06","013","338204","06013338204","3382.04",Census Tract 3382.04,G5020,S,"2626600","15822","+37.9190883","-122.0467663",,,,,
"12","06","013","355116","06013355116","3551.16",Census Tract 3551.16,G5020,S,"14826591","0","+37.7733211","-121.8811495",,,,,
"13","06","013","345204","06013345204","3452.04",Census Tract 3452.04,G5020,S,"12473030","5258","+37.8378943","-122.0397659",,,,,
"14","06","013","345203","06013345203","3452.03",Census Tract 3452.03,G5020,S,"28068763","0","+37.8065132","-122.0248195",,,,,
"15","06","013","345112","06013345112","3451.12",Census Tract 3451.12,G5020,S,"8394028","0","+37.7615080","-121.9273696",,,,,
"16","06","013","345113","06013345113","3451.13",Census Tract 3451.13,G5020,S,"5353881","0","+37.7955019","-121.9413666",0.000852839276778845,0.000219010074463425,"Census Tract 3451.13, Contra Costa County, California","4566","1"
"17","06","037","143400","06037143400","1434",Census Tract 1434,G5020,S,"1738504","18831","+34.1538507","-118.4110998",,,,,
"18","06","037","143500","06037143500","1435",Census Tract 1435,G5020,S,"1191719","46468","+34.1476412","-118.4067800",,,,,
"19","06","037","181000","06037181000","1810",Census Tract 1810,G5020,S,"4107041","30513","+34.1452670","-118.2043861",,,,,
"20","06","037","181500","06037181500","1815",Census Tract 1815,G5020,S,"1094424","0","+34.1347812","-118.1928513",,,,,
"21","06","037","181600","06037181600","1816",Census Tract 1816,G5020,S,"1250035","0","+34.1297233","-118.2097405",,,,,
"22","06","037","183101","06037183101","1831.01",Census Tract 1831.01,G5020,S,"948156","19799","+34.1222377","-118.1823583",,,,,
"23","06","001","441402","06001441402","4414.02",Census Tract 4414.02,G5020,S,"1634514","0","+37.5823793","-122.0398730",,,,,
"24","06","001","441501","06001441501","4415.01",Census Tract 4415.01,G5020,S,"2625003","0","+37.5699748","-122.0724418",,,,,
"25","06","001","441521","06001441521","4415.21",Census Tract 4415.21,G5020,S,"1711300","0","+37.5729300","-122.0532584",,,,,
"26","06","001","441522","06001441522","4415.22",Census Tract 4415.22,G5020,S,"1307234","0","+37.5845594","-122.0572546",,,,,
"27","06","001","441601","06001441601","4416.01",Census Tract 4416.01,G5020,S,"1291645","0","+37.5635007","-122.0305372",,,,,
"28","06","001","441602","06001441602","4416.02",Census Tract 4416.02,G5020,S,"1682082","0","+37.5569619","-122.0212342",,,,,
"29","06","037","183220","06037183220","1832.20",Census Tract 1832.20,G5020,S,"535234","0","+34.1199723","-118.1892861",,,,,
"30","06","037","183300","06037183300","1833",Census Tract 1833,G5020,S,"541305","0","+34.1210001","-118.2008163",,,,,
"31","06","037","183510","06037183510","1835.10",Census Tract 1835.10,G5020,S,"500438","0","+34.1154022","-118.2030827",,,,,
"32","06","037","183520","06037183520","1835.20",Census Tract 1835.20,G5020,S,"427707","0","+34.1109412","-118.2015849",,,,,
"33","06","037","183610","06037183610","1836.10",Census Tract 1836.10,G5020,S,"378643","0","+34.1140024","-118.1948974",,,,,
"34","06","037","192300","06037192300","1923",Census Tract 1923,G5020,S,"879494","0","+34.0797430","-118.3284923",,,,,
"35","06","001","441800","06001441800","4418",Census Tract 4418,G5020,S,"2038660","0","+37.5591968","-121.9915745",,,,,
"36","06","001","441921","06001441921","4419.21",Census Tract 4419.21,G5020,S,"846805","0","+37.5424223","-121.9678076",,,,,
"37","06","037","195400","06037195400","1954",Census Tract 1954,G5020,S,"1030345","0","+34.0916923","-118.2740531",,,,,
"38","06","001","441923","06001441923","4419.23",Census Tract 4419.23,G5020,S,"1506724","0","+37.5509731","-121.9850086",,,,,
"39","06","001","442100","06001442100","4421",Census Tract 4421,G5020,S,"1836846","0","+37.5482724","-121.9498620",,,,,
"40","06","001","442400","06001442400","4424",Census Tract 4424,G5020,S,"1582838","0","+37.5313806","-121.9737794",,,,,
"41","06","001","442500","06001442500","4425",Census Tract 4425,G5020,S,"1959820","0","+37.5371439","-121.9871472",,,,,
"42","06","037","183820","06037183820","1838.20",Census Tract 1838.20,G5020,S,"308653","0","+34.1039593","-118.1971254",,,,,
"43","06","037","185100","06037185100","1851",Census Tract 1851,G5020,S,"2278050","0","+34.1048825","-118.2103941",,,,,
"44","06","037","185202","06037185202","1852.02",Census Tract 1852.02,G5020,S,"1205737","0","+34.0950599","-118.2170631",,,,,
"45","06","037","185310","06037185310","1853.10",Census Tract 1853.10,G5020,S,"421083","0","+34.0922029","-118.2226256",,,,,
"46","06","073","003800","06073003800","38",Census Tract 38,G5020,S,"1793853","21921","+32.6835337","-117.1207979",0.00348523541226622,0.00111964171465131,"Census Tract 38, San Diego County, California","6252","7"
"47","06","073","003901","06073003901","39.01",Census Tract 39.01,G5020,S,"641541","0","+32.7035578","-117.1267807",0.00686783853253338,0.00113481615978212,"Census Tract 39.01, San Diego County, California","4406","5"
"48","06","073","003902","06073003902","39.02",Census Tract 39.02,G5020,S,"1167019","6681","+32.6967490","-117.1263197",0.00347466493690334,0.00493218249075216,"Census Tract 39.02, San Diego County, California","4055","20"
"49","06","073","004000","06073004000","40",Census Tract 40,G5020,S,"856140","0","+32.7087780","-117.1271130",0.00563926460625599,0.0356255178127589,"Census Tract 40, San Diego County, California","4828","172"
"50","06","073","004100","06073004100","41",Census Tract 41,G5020,S,"1514790","0","+32.7148357","-117.1292445",0.00486602103261838,0.0157373490706824,"Census Tract 41, San Diego County, California","7371","116"
"51","06","073","008800","06073008800","88",Census Tract 88,G5020,S,"1461012","0","+32.7824563","-117.1653561",,,,,
"52","06","073","008901","06073008901","89.01",Census Tract 89.01,G5020,S,"1299092","0","+32.7726385","-117.1727590",0.00418754022040009,0.00257352941176471,"Census Tract 89.01, San Diego County, California","5440","14"
"53","06","073","009000","06073009000","90",Census Tract 90,G5020,S,"1231846","0","+32.7782874","-117.1788276",,,,,
"54","06","073","009101","06073009101","91.01",Census Tract 91.01,G5020,S,"2793591","0","+32.8002118","-117.2039588",,,,,
"55","06","081","605300","06081605300","6053",Census Tract 6053,G5020,S,"1090639","0","+37.5820548","-122.3620094",,,,,
"56","06","081","605400","06081605400","6054",Census Tract 6054,G5020,S,"2643187","1270706","+37.5910356","-122.3453899",,,,,
"57","06","081","605500","06081605500","6055",Census Tract 6055,G5020,S,"1098044","0","+37.5765504","-122.3482825",,,,,
"58","06","081","605800","06081605800","6058",Census Tract 6058,G5020,S,"1218794","0","+37.5680176","-122.3451754",,,,,
"59","06","081","605900","06081605900","6059",Census Tract 6059,G5020,S,"773555","0","+37.5723780","-122.3340889",,,,,
"60","06","095","253101","06095253101","2531.01",Census Tract 2531.01,G5020,S,"6253671","0","+38.3505073","-122.0063094",0.00086029469730659,0.000929368029739777,"Census Tract 2531.01, Solano County, California","5380","5"
"61","06","095","253105","06095253105","2531.05",Census Tract 2531.05,G5020,S,"2472066","0","+38.3539119","-121.9670998",,,,,
"62","06","095","253106","06095253106","2531.06",Census Tract 2531.06,G5020,S,"1093164","0","+38.3417499","-121.9660442",,,,,
"63","06","095","253107","06095253107","2531.07",Census Tract 2531.07,G5020,S,"2543548","0","+38.3420895","-121.9790512",,,,,
"64","06","095","253201","06095253201","2532.01",Census Tract 2532.01,G5020,S,"5025048","0","+38.3703216","-122.0115118",0.000960587839160939,0.000414336026517506,"Census Tract 2532.01, Solano County, California","4827","2"
"65","06","071","008706","06071008706","87.06",Census Tract 87.06,G5020,S,"18837817","0","+34.0435274","-117.0805952",,,,,
"66","06","071","980200","06071980200","9802",Census Tract 9802,G5020,S,"19450278","0","+34.5848184","-117.3718475",0.000200511272898002,0.000256410256410256,"Census Tract 9802, San Bernardino County, California","3900","1"
"67","06","071","009300","06071009300","93",Census Tract 93,G5020,S,"11464572","0","+34.9077515","-117.0327827",,,,,
"68","06","037","501900","06037501900","5019",Census Tract 5019,G5020,S,"1380071","0","+33.9558907","-118.0274643",,,,,
"69","06","037","533503","06037533503","5335.03",Census Tract 5335.03,G5020,S,"173596","0","+33.9845559","-118.1910856",,,,,
"70","06","037","543702","06037543702","5437.02",Census Tract 5437.02,G5020,S,"1315476","0","+33.8135657","-118.2696681",,,,,
"71","06","037","553902","06037553902","5539.02",Census Tract 5539.02,G5020,S,"1055808","0","+33.8851402","-118.1530886",,,,,
"72","06","037","570304","06037570304","5703.04",Census Tract 5703.04,G5020,S,"545967","25570","+33.8563177","-118.1926968",,,,,
"73","06","037","620303","06037620303","6203.03",Census Tract 6203.03,G5020,S,"1158102","0","+33.8915717","-118.4018082",,,,,
"74","06","099","000910","06099000910","9.10",Census Tract 9.10,G5020,S,"1919245","0","+37.6726269","-120.9667083",0.00395832736310372,0.000789785441621693,"Census Tract 9.10, Stanislaus County, California","7597","6"
"75","06","099","001001","06099001001","10.01",Census Tract 10.01,G5020,S,"2569479","0","+37.6592371","-120.9657913",0.00216464115877188,0.0485436893203883,"Census Tract 10.01, Stanislaus County, California","5562","270"
"76","06","099","000911","06099000911","9.11",Census Tract 9.11,G5020,S,"1335912","0","+37.6717690","-120.9506437",,,,,
